Year,Afghanistan,Australia,Bangladesh,Cambodia,China,European Union,Ghana,United Kingdom,United States
1961,39.593,287.5904,9.0694,12.7136,10.3846,142.343,30.5236,189.7176,242.901
1962,39.6204,308.0308,9.316,13.5904,12.193,146.9736,27.5096,194.3756,245.093
1963,40.7712,308.4418,9.4804,14.933,18.358,148.645,27.0986,192.8686,253.7514
1964,41.2918,311.9216,9.6722,17.1524,22.7146,151.4124,26.304,191.2246,262.766
1965,42.1412,301.7014,9.6722,18.769,25.0984,155.0018,25.5916,191.8548,256.875
1966,48.0596,290.0016,9.8092,19.8376,26.5506,158.646,25.8108,194.3756,265.78
1967,49.3748,277.8908,9.8366,22.4954,27.5096,163.6328,26.8246,194.4852,276.3838
1968,52.7998,285.8368,9.864,24.6874,26.6328,168.3456,26.4136,196.7594,281.3432
1969,51.649,298.4682,10.001,26.6054,25.5368,170.7842,28.3864,197.8554,282.3296
1970,47.0458,287.6726,10.138,29.2632,24.9066,177.4972,28.77,199.0336,290.0016
1971,46.2786,306.3868,9.7818,28.8522,27.4822,183.032,27.5918,203.6368,297.3722
1972,40.2232,318.6072,9.4804,28.1672,29.4824,187.6626,25.8382,203.0614,295.8104
1973,42.3878,303.455,9.042,27.4822,29.2084,190.6218,25.0984,192.4576,276.6852
1974,42.7166,259.6698,9.0694,23.975,28.9344,195.9922,26.578,193.6084,290.9058
1975,43.2098,342.8288,9.0968,18.9608,29.0714,198.5952,24.8792,187.2516,280.0006
1976,47.5938,355.5424,9.1242,15.1796,28.77,201.1434,23.427,183.6896,298.7696
1977,48.1418,345.1304,8.8228,13.1794,28.9344,203.445,25.7012,184.7308,297.9476
1978,48.6624,356.5288,10.1654,11.8094,30.8798,210.8156,26.7424,191.937,292.906
1979,48.5254,310.8804,10.1654,10.1928,36.579,216.5422,27.5644,197.9924,292.0566
1980,49.6488,303.2084,6.9048,10.0558,39.9492,220.0494,29.3728,193.5536,296.7968
1981,52.06,300.1944,6.9048,12.8232,41.1548,217.6108,30.0578,189.8272,297.2352
1982,53.978,308.6336,6.9596,22.742,43.155,215.5832,31.4552,188.9504,289.481
1983,53.2108,294.0294,7.0692,24.2764,44.2236,216.8436,33.017,188.4846,297.2078
1984,52.471,293.7006,6.8774,27.5644,47.3198,218.2958,30.6332,190.5396,298.0024
1985,49.8954,307.428,7.672,30.9072,52.3888,220.4056,29.4824,193.307,302.3316
1986,47.9774,306.8252,7.672,30.7428,54.3068,222.7894,28.6878,196.3758,303.0166
1987,51.3476,307.154,7.7816,31.9484,57.9236,228.653,28.1672,201.7188,304.962
1988,53.3752,302.6604,7.809,35.7296,62.6364,230.6532,27.7288,201.1434,312.1134
1989,54.389,306.5238,7.8912,38.497,64.7462,229.612,28.5508,195.91,308.935
1990,57.266,315.785,8.083,34.9898,68.0616,232.9548,29.866,197.1978,308.7706
1991,53.8136,307.2088,8.083,35.1816,72.6922,231.8588,33.5376,198.6774,313.0998
1992,48.772,307.2636,8.22,41.1,78.638,228.6256,33.154,207.2262,321.7034
1993,46.1416,303.6194,8.4666,41.4836,84.3098,226.6254,32.5786,197.9102,319.1552
1994,45.3744,306.058,8.6584,39.0176,90.968,222.8716,30.5236,201.9106,326.06
1995,45.0182,298.0024,8.8228,38.6614,97.1604,222.214,30.14,201.39,323.6762
1996,46.1416,294.9062,8.7406,39.6204,98.0098,225.6116,27.2904,200.4584,322.909
1997,48.909,290.166,9.1516,41.7028,104.9146,221.4194,27.8932,200.8146,320.2512
1998,52.06,303.318,9.042,41.5658,112.34,232.0232,26.304,209.0894,329.896
1999,50.0872,302.4412,9.2064,41.5384,116.4226,228.8448,28.77,208.1578,339.2394
2000,42.4974,304.3318,9.316,44.8538,123.4644,229.5298,28.9892,211.1444,333.4032
2001,35.5926,301.3178,9.3434,43.9496,122.6698,230.1326,27.5644,215.0078,330.9372
2002,37.5654,303.3454,9.59,42.3056,124.9166,231.4478,29.0988,217.0902,340.8286
2003,35.346,322.9912,9.8092,43.8126,130.3144,231.0368,33.7568,227.2008,337.4858
2004,37.5106,295.2076,9.9188,43.84,130.7528,228.0502,32.8252,232.7356,344.5824
2005,38.3874,321.3746,10.1106,44.0592,135.3834,227.968,32.9074,228.8174,343.322
2006,30.7154,306.332,10.3572,43.977,139.6578,227.5022,33.6746,234.818,343.9522
2007,29.3454,334.554,10.6038,44.2784,143.4938,231.1738,38.1134,233.2562,343.7878
2008,33.291,307.9212,10.686,43.8674,149.7136,229.1462,38.9902,223.2826,335.9514
2009,32.4964,307.6472,10.8778,44.7442,154.3442,228.7352,36.9626,221.3372,325.238
2010,35.62,306.743,11.0422,40.6616,158.0706,227.7762,41.1274,222.1044,325.5668
2011,36.6612,331.8688,11.234,40.963,158.1802,225.8308,46.3334,225.9404,318.6346
2012,33.702,321.4842,11.2888,36.9626,165.5508,226.05,46.0868,227.146,314.8534
2013,33.7842,318.4702,11.2614,36.1954,169.3868,222.6524,47.7856,223.2552,315.4562
